commit	score	status	description
314376a	1.000000	discard	discard run 2026-03-13T04-02-53-724Z-95 mode=playfield_marker source=amiga_workspace/benchmarks/copper_bars/asm_playfield_marker/current.s rom=Kickstart v1.3 r34.005 (1987-12)(Commodore)(A500-A1000-A2000-CDTV).rom
314376a	1.000000	discard	discard run 2026-03-13T04-03-09-566Z-96 mode=playfield_marker source=amiga_workspace/benchmarks/copper_bars/asm_playfield_marker/current.s rom=Kickstart v1.3 r34.005 (1987-12)(Commodore)(A500-A1000-A2000-CDTV).rom
314376a	1.000000	discard	discard run 2026-03-13T04-03-25-522Z-97 mode=playfield_marker source=amiga_workspace/benchmarks/copper_bars/asm_playfield_marker/current.s rom=Kickstart v1.3 r34.005 (1987-12)(Commodore)(A500-A1000-A2000-CDTV).rom
314376a	1.000000	discard	discard run 2026-03-13T04-03-41-268Z-98 mode=playfield_marker source=amiga_workspace/benchmarks/copper_bars/asm_playfield_marker/current.s rom=Kickstart v1.3 r34.005 (1987-12)(Commodore)(A500-A1000-A2000-CDTV).rom
314376a	1.000000	discard	discard run 2026-03-13T04-03-57-022Z-99 mode=playfield_marker source=amiga_workspace/benchmarks/copper_bars/asm_playfield_marker/current.s rom=Kickstart v1.3 r34.005 (1987-12)(Commodore)(A500-A1000-A2000-CDTV).rom
314376a	1.000000	discard	discard run 2026-03-13T04-04-12-858Z-100 mode=playfield_marker source=amiga_workspace/benchmarks/copper_bars/asm_playfield_marker/current.s rom=Kickstart v1.3 r34.005 (1987-12)(Commodore)(A500-A1000-A2000-CDTV).rom
314376a	1.000000	discard	discard run 2026-03-13T04-04-28-790Z-101 mode=playfield_marker source=amiga_workspace/benchmarks/copper_bars/asm_playfield_marker/current.s rom=Kickstart v1.3 r34.005 (1987-12)(Commodore)(A500-A1000-A2000-CDTV).rom
314376a	1.000000	keep	keep run 2026-03-13T04-36-33-100Z-102 mode=copper_bars_asm source=amiga_workspace/benchmarks/copper_bars/asm_mutation/current.s rom=Kickstart v1.3 r34.005 (1987-12)(Commodore)(A500-A1000-A2000-CDTV).rom
314376a	1.000000	keep	keep run 2026-03-13T04-41-08-579Z-1 mode=copper_bars_suite source=amiga_workspace/benchmarks/copper_bars/asm_mutation/current.s rom=Kickstart v1.3 r34.005 (1987-12)(Commodore)(A500-A1000-A2000-CDTV).rom
314376a	1.000000	discard	discard run 2026-03-13T04-44-00-978Z-1 mode=copper_bars_suite source=amiga_workspace/benchmarks/copper_bars/asm_mutation/current.s rom=Kickstart v1.3 r34.005 (1987-12)(Commodore)(A500-A1000-A2000-CDTV).rom
